epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,126.823,3.21775,4.66266,4.49803,0.00355,0.72778,0.00561,0.00187,3.37355,4.38042,4.15789,7.5e-05,7.5e-05,7.5e-05
2,218.03,3.25853,4.57153,4.49499,0.00367,0.72778,0.00854,0.0025,3.37475,4.37797,4.15739,0.000146413,0.000146413,0.000146413
3,284.831,3.23156,4.32033,4.25374,0.00373,0.72778,0.00593,0.00214,3.37835,4.37402,4.1589,0.0002005,0.0002005,0.0002005
4,369.633,3.04433,4.276,4.19374,0.00352,0.69653,0.00542,0.002,3.38199,4.36889,4.16232,0.000237263,0.000237263,0.000237263
5,538.447,2.9983,4.21364,4.08052,0.00356,0.72778,0.00711,0.00262,3.38816,4.36082,4.17092,0.0002567,0.0002567,0.0002567
6,622.694,2.87028,4.10982,4.01687,0.00356,0.72778,0.00842,0.00308,3.39408,4.35232,4.18005,0.000258812,0.000258812,0.000258812
7,675.747,2.7871,4.07654,3.93251,0.00346,0.72778,0.00615,0.00217,3.41946,4.33669,4.20369,0.0002436,0.0002436,0.0002436
8,732.378,2.71741,3.94002,3.87622,0.00335,0.70278,0.00566,0.00207,3.44038,4.33235,4.22257,0.000211063,0.000211063,0.000211063
9,8315.85,2.66571,3.86986,3.83384,0.00348,0.71667,0.00515,0.00194,3.46629,4.32747,4.24924,0.0001612,0.0001612,0.0001612
